feature_name,importance_score
HTTPS,70.38177490234375
AnchorURL,26.74637222290039
PrefixSuffix-,19.927757263183594
ServerFormHandler,5.216730117797852
WebsiteTraffic,4.156594753265381
GoogleIndex,2.9418444633483887
DNSRecording,2.8321144580841064
LinksInScriptTags,2.744077682495117
SubDomains,2.351865768432617
DisableRightClick,2.3482205867767334
HTTPSDomainURL,2.281992197036743
ShortURL,2.2170889377593994
UsingIP,2.1341795921325684
LinksPointingToPage,1.9374995231628418
Redirecting//,1.861498236656189
RequestURL,1.7732222080230713
IframeRedirection,1.6890671253204346
Favicon,1.6837025880813599
LongURL,1.6798012256622314
AgeofDomain,1.5946427583694458
InfoEmail,1.5434207916259766
DomainRegLen,1.5402085781097412
PageRank,1.3582478761672974
WebsiteForwarding,1.277602195739746
StatusBarCust,1.2484123706817627
NonStdPort,1.2221325635910034
UsingPopupWindow,1.2091015577316284
AbnormalURL,1.0127874612808228
Symbol@,0.8325594067573547
StatsReport,0.7874416708946228
